DATE,BOROUGH,WEEKDAY,YEAR,MONTH,DAY,COLLISION_DATE,TEMP,DEWP,SLP,VISIB,WDSP,MXPSD,GUST,MAX,MIN,PRCP,SNDP,FOG,CYC_KILL,CYC_INJD,MOTO_KILL,MOTO_INJD,PEDS_KILL,PEDS_INJD,PERS_KILL,PERS_INJD,NUM_COLS
01/01/2017,STATEN ISLAND,7,2017,1,1,01/01/2017,44.4,33.6,1017.4,9,13.4,18.1,27,48,39,0.03,999.9,0,0,0,0,3,0,1,0,4,19
01/01/2017,BROOKLYN,7,2017,1,1,01/01/2017,44.4,33.6,1017.4,9,13.4,18.1,27,48,39,0.03,999.9,0,0,3,1,36,1,6,1,45,152
01/01/2017,MANHATTAN,7,2017,1,1,01/01/2017,44.4,33.6,1017.4,9,13.4,18.1,27,48,39,0.03,999.9,0,0,2,0,16,0,6,0,24,84
01/01/2017,QUEENS,7,2017,1,1,01/01/2017,44.4,33.6,1017.4,9,13.4,18.1,27,48,39,0.03,999.9,0,0,2,0,45,1,6,1,53,138
01/01/2017,BRONX,7,2017,1,1,01/01/2017,44.4,33.6,1017.4,9,13.4,18.1,27,48,39,0.03,999.9,0,0,0,0,32,1,5,1,37,73
01/02/2017,QUEENS,3,2017,2,1,01/02/2017,38.7,31.3,1011.6,9.7,10.5,21,27,45,21.9,0,999.9,0,0,2,0,15,0,7,0,24,146
01/02/2017,BROOKLYN,3,2017,2,1,01/02/2017,38.7,31.3,1011.6,9.7,10.5,21,27,45,21.9,0,999.9,0,0,7,0,22,0,8,0,37,150
01/02/2017,BRONX,3,2017,2,1,01/02/2017,38.7,31.3,1011.6,9.7,10.5,21,27,45,21.9,0,999.9,0,0,2,0,31,0,6,0,39,86
01/02/2017,MANHATTAN,3,2017,2,1,01/02/2017,38.7,31.3,1011.6,9.7,10.5,21,27,45,21.9,0,999.9,0,0,5,0,8,0,10,0,23,135
01/02/2017,STATEN ISLAND,3,2017,2,1,01/02/2017,38.7,31.3,1011.6,9.7,10.5,21,27,45,21.9,0,999.9,0,0,0,0,2,0,1,0,3,27
01/03/2017,BRONX,3,2017,3,1,01/03/2017,47.4,45.8,1007,2,11.5,24.1,29.9,52,41,0.03,999.9,1,0,1,0,16,0,8,0,25,83
01/03/2017,BROOKLYN,3,2017,3,1,01/03/2017,47.4,45.8,1007,2,11.5,24.1,29.9,52,41,0.03,999.9,1,0,2,0,28,0,6,0,36,153
01/03/2017,QUEENS,3,2017,3,1,01/03/2017,47.4,45.8,1007,2,11.5,24.1,29.9,52,41,0.03,999.9,1,0,4,1,33,0,4,0,41,161
01/03/2017,MANHATTAN,3,2017,3,1,01/03/2017,47.4,45.8,1007,2,11.5,24.1,29.9,52,41,0.03,999.9,1,0,4,0,7,0,9,0,20,120
01/03/2017,STATEN ISLAND,3,2017,3,1,01/03/2017,47.4,45.8,1007,2,11.5,24.1,29.9,52,41,0.03,999.9,1,0,1,0,6,0,0,0,7,29
01/04/2017,BROOKLYN,6,2017,4,1,01/04/2017,39.8,36.9,1005.9,3.3,24.2,33,44.1,44.1,35.1,1.43,999.9,0,0,2,0,35,0,5,0,42,170
01/04/2017,QUEENS,6,2017,4,1,01/04/2017,39.8,36.9,1005.9,3.3,24.2,33,44.1,44.1,35.1,1.43,999.9,0,0,1,1,32,0,1,0,34,159
01/04/2017,MANHATTAN,6,2017,4,1,01/04/2017,39.8,36.9,1005.9,3.3,24.2,33,44.1,44.1,35.1,1.43,999.9,0,0,3,0,6,0,5,0,14,109
01/04/2017,BRONX,6,2017,4,1,01/04/2017,39.8,36.9,1005.9,3.3,24.2,33,44.1,44.1,35.1,1.43,999.9,0,0,0,0,20,0,1,0,21,90
01/04/2017,STATEN ISLAND,6,2017,4,1,01/04/2017,39.8,36.9,1005.9,3.3,24.2,33,44.1,44.1,35.1,1.43,999.9,0,0,0,0,3,0,0,0,3,31
01/05/2017,QUEENS,1,2017,5,1,01/05/2017,49.3,45.3,1019.8,5,10.6,15.9,999.9,57.9,44.6,0,999.9,1,0,3,0,39,0,2,0,44,154
01/05/2017,BRONX,1,2017,5,1,01/05/2017,49.3,45.3,1019.8,5,10.6,15.9,999.9,57.9,44.6,0,999.9,1,0,1,0,17,0,8,0,26,115
01/05/2017,MANHATTAN,1,2017,5,1,01/05/2017,49.3,45.3,1019.8,5,10.6,15.9,999.9,57.9,44.6,0,999.9,1,0,6,0,16,0,7,0,28,119
01/05/2017,BROOKLYN,1,2017,5,1,01/05/2017,49.3,45.3,1019.8,5,10.6,15.9,999.9,57.9,44.6,0,999.9,1,0,4,0,26,0,13,0,43,182
01/05/2017,STATEN ISLAND,1,2017,5,1,01/05/2017,49.3,45.3,1019.8,5,10.6,15.9,999.9,57.9,44.6,0,999.9,1,0,0,0,4,0,1,0,5,47
01/06/2017,QUEENS,4,2017,6,1,01/06/2017,55.7,53.8,1013.3,3,7.7,13,999.9,61,51.8,0.01,999.9,1,0,3,0,46,0,6,0,56,174
