"","DATE","BOROUGH","Fri","Mon","Sat","Sun","Thu","Tue","Wed","YEAR","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","DAY","COLLISION_DATE","TEMP","DEWP","SLP","VISIB","WDSP","MXPSD","GUST","MAX","MIN","PRCP","SNDP","FOG","CYC_KILL","CYC_INJD","MOTO_KILL","MOTO_INJD","PEDS_KILL","PEDS_INJD","PERS_KILL","PERS_INJD","NUM_COLS"
"1","21-08-2012","MANHATTAN",0,1,0,0,0,0,0,2012,0,1,0,0,0,0,0,0,0,0,0,0,21,"21-08-2012",72.8,57.2,1015.5,10,2.5,12,999.9,81,60.8,0,999.9,0,0,4,0,17,0,7,0,28,109
"2","21-08-2012","BRONX",0,1,0,0,0,0,0,2012,0,1,0,0,0,0,0,0,0,0,0,0,21,"21-08-2012",72.8,57.2,1015.5,10,2.5,12,999.9,81,60.8,0,999.9,0,0,2,1,13,1,4,1,19,46
"3","21-08-2012","QUEENS",0,1,0,0,0,0,0,2012,0,1,0,0,0,0,0,0,0,0,0,0,21,"21-08-2012",72.8,57.2,1015.5,10,2.5,12,999.9,81,60.8,0,999.9,0,0,2,0,21,0,0,0,23,103
"4","21-08-2012","BROOKLYN",0,1,0,0,0,0,0,2012,0,1,0,0,0,0,0,0,0,0,0,0,21,"21-08-2012",72.8,57.2,1015.5,10,2.5,12,999.9,81,60.8,0,999.9,0,0,5,0,25,0,11,0,41,122
"5","21-08-2012","STATEN ISLAND",0,1,0,0,0,0,0,2012,0,1,0,0,0,0,0,0,0,0,0,0,21,"21-08-2012",72.8,57.2,1015.5,10,2.5,12,999.9,81,60.8,0,999.9,0,0,0,0,3,0,1,0,4,28
"6","27-10-2012","BRONX",1,0,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,1,0,27,"27-10-2012",61.9,53.9,1017,9.6,4.3,12,16.9,64.9,42.8,0,999.9,0,0,0,1,22,0,3,0,25,60
"7","27-10-2012","MANHATTAN",1,0,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,1,0,27,"27-10-2012",61.9,53.9,1017,9.6,4.3,12,16.9,64.9,42.8,0,999.9,0,0,1,0,11,0,8,0,20,122
"8","27-10-2012","QUEENS",1,0,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,1,0,27,"27-10-2012",61.9,53.9,1017,9.6,4.3,12,16.9,64.9,42.8,0,999.9,0,0,0,0,21,0,4,0,25,108
"9","27-10-2012","BROOKLYN",1,0,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,1,0,27,"27-10-2012",61.9,53.9,1017,9.6,4.3,12,16.9,64.9,42.8,0,999.9,0,0,5,0,26,0,9,0,40,120
"10","27-10-2012","STATEN ISLAND",1,0,0,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,1,0,27,"27-10-2012",61.9,53.9,1017,9.6,4.3,12,16.9,64.9,42.8,0,999.9,0,0,0,0,9,0,0,0,9,20
"11","25-08-2012","QUEENS",1,0,0,0,0,0,0,2012,0,1,0,0,0,0,0,0,0,0,0,0,25,"25-08-2012",75.7,65.2,1023.6,7.3,3.2,13,18.1,84,62.6,0.01,999.9,1,0,5,0,28,0,5,0,38,117
"12","25-08-2012","BROOKLYN",1,0,0,0,0,0,0,2012,0,1,0,0,0,0,0,0,0,0,0,0,25,"25-08-2012",75.7,65.2,1023.6,7.3,3.2,13,18.1,84,62.6,0.01,999.9,1,0,8,0,17,0,4,0,29,115
"13","25-08-2012","BRONX",1,0,0,0,0,0,0,2012,0,1,0,0,0,0,0,0,0,0,0,0,25,"25-08-2012",75.7,65.2,1023.6,7.3,3.2,13,18.1,84,62.6,0.01,999.9,1,0,2,0,14,0,3,0,19,57
"14","25-08-2012","MANHATTAN",1,0,0,0,0,0,0,2012,0,1,0,0,0,0,0,0,0,0,0,0,25,"25-08-2012",75.7,65.2,1023.6,7.3,3.2,13,18.1,84,62.6,0.01,999.9,1,0,1,0,16,0,5,0,22,97
"15","25-08-2012","STATEN ISLAND",1,0,0,0,0,0,0,2012,0,1,0,0,0,0,0,0,0,0,0,0,25,"25-08-2012",75.7,65.2,1023.6,7.3,3.2,13,18.1,84,62.6,0.01,999.9,1,0,1,0,5,0,1,0,7,22
"16","09-09-2012","BROOKLYN",0,0,1,0,0,0,0,2012,0,0,0,0,0,0,0,0,0,0,0,1,9,"09-09-2012",68.4,57.3,1009.6,9.5,3,16.9,21,75.9,60.8,0.04,999.9,0,0,4,0,38,0,13,0,55,122
