day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,CYCLISTS_KILLED,CYCLISTS_INJURED,MOTORISTS_KILLED,MOTORISTS_INJURED,PEDS_KILLED,PEDS_INJURED,PERSONS_KILLED,PERSONS_INJURED,NUM_COLLISIONS
5,2020,01,24,2020-01-24,37.3,33.7,1028.5,6.5,3.3,8,999.9,46.0,19.9,0.0,999.9,1,0,14,0,129,0,24,0,167,524
5,2021,01,22,2021-01-22,36.5,28.4,1003.1,10.0,7.8,12,20.0,44.1,19.9,0.0,999.9,0,0,8,1,74,0,10,1,92,253
2,2021,01,12,2021-01-12,37.0,29.1,1019.0,10.0,6.5,12,999.9,44.1,21.0,0.0,999.9,0,0,13,0,65,0,18,0,96,273
3,2021,01,27,2021-01-27,34.6,33.8,1012.8,8.0,7.8,12,999.9,41.0,28.9,0.25,999.9,1,0,9,0,71,0,14,0,94,260
2,2021,01,26,2021-01-26,31.9,23.4,1016.9,9.0,7.4,12,999.9,37.9,21.0,0.0,999.9,1,0,7,0,91,0,30,0,128,262
1,2020,01,13,2020-01-13,42.5,37.0,1029.6,9.5,9.2,13,999.9,57.0,39.9,0.01,999.9,0,0,12,0,97,0,30,0,139,476
5,2021,01,08,2021-01-08,33.3,24.9,1013.3,10.0,7.2,13,999.9,41.0,26.1,0.0,999.9,0,0,7,0,84,0,22,0,113,268
2,2020,01,07,2020-01-07,39.0,26.6,1016.6,10.0,8,13,999.9,43.0,24.1,0.0,999.9,0,0,9,0,98,2,34,2,141,408
5,2021,01,01,2021-01-01,39.6,29.3,1029.3,10.0,7.6,14,20.0,54.0,33.1,0.13,999.9,0,0,7,2,77,0,21,2,105,256
3,2020,01,15,2020-01-15,43.9,38.3,1019.4,8.2,5.4,14,15.0,51.1,35.1,0.02,999.9,1,0,14,0,100,1,40,1,154,508
7,2021,01,31,2021-01-31,22.2,13.6,1025.2,10.0,7.6,14,999.9,28.9,15.1,0.0,999.9,0,0,4,0,92,0,12,0,108,296
4,2020,01,30,2020-01-30,31.6,19.4,1023.4,10.0,9.4,15,999.9,37.0,21.9,0.0,999.9,0,1,8,0,104,0,34,1,146,525
1,2020,01,06,2020-01-06,33.5,24.0,1013.2,9.9,5.3,15,999.9,43.0,24.1,0.01,999.9,1,0,5,0,110,0,40,0,155,459
