DATE,BOROUGH,WEEKDAY,YEAR,MONTH,DAY,COLLISION_DATE,TEMP,DEWP,SLP,VISIB,WDSP,MXPSD,GUST,MAX,MIN,PRCP,SNDP,FOG,CYC_KILL,CYC_INJD,MOTO_KILL,MOTO_INJD,PEDS_KILL,PEDS_INJD,PERS_KILL,PERS_INJD,NUM_COLS
2012-08-21,MANHATTAN,2,2012,08,21,2012-08-21,72.8,57.2,1015.5,10,2.5,12.0,999.9,81,60.8,0,999.9,0,0,4,0,17,0,7,0,28,109
2012-08-21,BRONX,2,2012,08,21,2012-08-21,72.8,57.2,1015.5,10,2.5,12.0,999.9,81,60.8,0,999.9,0,0,2,1,13,1,4,1,19,46
2012-08-21,QUEENS,2,2012,08,21,2012-08-21,72.8,57.2,1015.5,10,2.5,12.0,999.9,81,60.8,0,999.9,0,0,2,0,21,0,0,0,23,103
2012-08-21,BROOKLYN,2,2012,08,21,2012-08-21,72.8,57.2,1015.5,10,2.5,12.0,999.9,81,60.8,0,999.9,0,0,5,0,25,0,11,0,41,122
2012-08-21,STATEN ISLAND,2,2012,08,21,2012-08-21,72.8,57.2,1015.5,10,2.5,12.0,999.9,81,60.8,0,999.9,0,0,0,0,3,0,1,0,4,28
2012-10-27,BRONX,6,2012,10,27,2012-10-27,61.9,53.9,1017,9.6,4.3,12.0,16.9,64.9,42.8,0,999.9,0,0,0,1,22,0,3,0,25,60
2012-10-27,MANHATTAN,6,2012,10,27,2012-10-27,61.9,53.9,1017,9.6,4.3,12.0,16.9,64.9,42.8,0,999.9,0,0,1,0,11,0,8,0,20,122
2012-10-27,QUEENS,6,2012,10,27,2012-10-27,61.9,53.9,1017,9.6,4.3,12.0,16.9,64.9,42.8,0,999.9,0,0,0,0,21,0,4,0,25,108
2012-10-27,BROOKLYN,6,2012,10,27,2012-10-27,61.9,53.9,1017,9.6,4.3,12.0,16.9,64.9,42.8,0,999.9,0,0,5,0,26,0,9,0,40,120
2012-10-27,STATEN ISLAND,6,2012,10,27,2012-10-27,61.9,53.9,1017,9.6,4.3,12.0,16.9,64.9,42.8,0,999.9,0,0,0,0,9,0,0,0,9,20
2012-08-25,QUEENS,6,2012,08,25,2012-08-25,75.7,65.2,1023.6,7.3,3.2,13.0,18.1,84,62.6,0.01,999.9,1,0,5,0,28,0,5,0,38,117
2012-08-25,BROOKLYN,6,2012,08,25,2012-08-25,75.7,65.2,1023.6,7.3,3.2,13.0,18.1,84,62.6,0.01,999.9,1,0,8,0,17,0,4,0,29,115
2012-08-25,BRONX,6,2012,08,25,2012-08-25,75.7,65.2,1023.6,7.3,3.2,13.0,18.1,84,62.6,0.01,999.9,1,0,2,0,14,0,3,0,19,57
